Acanthisitta_chloris	ASM69581v1.fasta
Alligator_mississippiensis	ASM28112v3.fasta
Alligator_sinensis	ASM45574v1.fasta
Amazona_aestiva	ASM142067v1.fasta
Amazona_vittata	AV1.fasta
Anas_platyrhynchos	BGI_duck_1.0.fasta
Anolis_carolinensis	AnoCar2.0.fasta
Anser_cygnoides_domesticus	AnsCyg_PRJNA183603_v1.0.fasta
Apaloderma_vittatum	ASM70340v1.fasta
Aptenodytes_forsteri	ASM69914v1.fasta
Apteryx_australis_mantelli	AptMant0.fasta
Aquila_chrysaetos_canadensis	Aquila_chrysaetos-1.0.2.fasta
Ara_macao	SMACv1.1.fasta
Balearica_regulorum	ASM70989v1.fasta
Buceros_rhinoceros	ASM71030v1.fasta
Calidris_pugnax	ASM143184v1.fasta
Calypte_anna	ASM69908v1.fasta
Caprimulgus_carolinensis	ASM70074v1.fasta
Cariama_cristata	ASM69053v1.fasta
Cathartes_aura	ASM69994v1.fasta
Chaetura_pelagica	ChaPel_1.0.fasta
Charadrius_vociferus	ASM70802v2.fasta
Chlamydotis_macqueenii	ASM69519v1.fasta
Chrysemys_picta_bellii	Chrysemys_picta_bellii-3.0.3.fasta
Colius_striatus	ASM69071v1.fasta
Columba_livia	Cliv_1.0.fasta
Corvus_brachyrhynchos	ASM69197v1.fasta
Corvus_cornix_cornix	Hooded_Crow_genome.fasta
Coturnix_japonica	Coturnix_japonica_2.0.fasta
Crocodylus_porosus	Cpor_2.0.fasta
Cuculus_canorus	ASM70932v1.fasta
Egretta_garzetta	ASM68718v1.fasta
Eurypyga_helias	ASM69077v1.fasta
Falco_cherrug	F_cherrug_v1.0.fasta
Falco_peregrinus	F_peregrinus_v1.0.fasta
Fulmarus_glacialis	ASM69083v1.fasta
Gallus_gallus	Gallus_gallus-5.0.fasta
Gavia_stellata	ASM69087v1.fasta
Gavialis_gangeticus	ggan_v0.2.fasta
Geospiza_fortis	GeoFor_1.0.fasta
Haliaeetus_albicilla	ASM69140v1.fasta
Haliaeetus_leucocephalus	Haliaeetus_leucocephalus-4.0.fasta
Leptosomus_discolor	ASM69178v1.fasta
Manacus_vitellinus	ASM69201v2.fasta
Meleagris_gallopavo	Turkey_5.0.fasta
Melopsittacus_undulatus	Melopsittacus_undulatus_6.3.fasta
Merops_nubicus	ASM69184v1.fasta
Mesitornis_unicolor	ASM69576v1.fasta
Nestor_notabilis	ASM69687v1.fasta
Nipponia_nippon	ASM70822v1.fasta
Opisthocomus_hoazin	ASM69207v1.fasta
Parus_major	Parus_major1.0.3.fasta
Pelecanus_crispus	ASM68737v1.fasta
Phaethon_lepturus	ASM68728v1.fasta
Phalacrocorax_carbo	ASM70892v1.fasta
Phoenicopterus_ruber	ASM68726v1.fasta
Picoides_pubescens	ASM69900v1.fasta
Podiceps_cristatus	ASM69954v1.fasta
Pseudopodoces_humilis	PseHum1.0.fasta
Pterocles_gutturalis	ASM69924v1.fasta
Pygoscelis_adeliae	ASM69910v1.fasta
Serinus_canaria	SCA1.fasta
Struthio_camelus	ASM69896v1.fasta
Sturnus_vulgaris	Sturnus_vulgaris-1.0.fasta
Taeniopygia_guttata	Taeniopygia_guttata-3.2.4.fasta
Tauraco_erythrolophus	ASM70936v1.fasta
Tinamus_guttatus	ASM70537v2.fasta
Tyto_alba	ASM68720v1.fasta
Zonotrichia_albicollis	Zonotrichia_albicollis-1.0.1.fasta
Zosterops_lateralis_melanops	ASM128173v1.fasta
