Genome name	Species	Common name	Sequencing depth	Assembly (total length)	Scaffolds	Scaffold N50	Scaffold L50	Contigs	Contig N50	Contig L50	Sex	Date	
ASM69581v1	Acanthisitta chloris	Rifleman	29X	1035876403	53875	64469	4486	120312	20602	14656	F	27/05/2014	
ASM28112v3	Alligator mississippiensis	American alligator	156X	"2,156,436,551"				"246,719"	"16,610"	"37,753"	?	30/10/2015	
ASM45574v1	Alligator sinensis	Chinese alligator	109X	"2,270,567,745"	"9,317"	"2,188,296"	325	"177,282"	"23,412"	"28,841"	M	29/08/2013	
ASM142067v1	Amazona aestiva	Blue-fronted amazon	120X	"1,129,535,839"				74606	23171	11630	?	30/10/2015	
AV1	Amazona vittata	Puerto Rican amazon	24X	"1,175,404,042"	"182,974"	"19,239"	"16,505"	"295,391"	"6,904"	"47,690"	M	22/01/2012	
BGI_duck_1.0	Anas platyrhynchos	Peking duck	60X	"1,105,052,351"	"78,488"	"1,233,631"	268	"227,449"	"26,114"	"11,206"	F	26/04/2013	
AnoCar2.0	Anolis carolinensis	Green aole	7.1X	"1,799,143,587"	"6,646"	"4,033,265"	119	"41,987"	"79,867"	"6,217"	F	10/01/2011	
AnsCyg_PRJNA183603_v1.0	Anser cygnoides domesticus	Swan goose	107.35X	"1,119,151,626"	"7,593"	"5,202,740"	64	"91,944"	"27,602"	"11,640"	M	8/04/2015	
ASM70340v1	Apaloderma vittatum	Bar-tailed trogon	28X	"1,070,836,417"	"54,728"	"56,673"	"5,440"	"105,649"	"28,882"	"10,934"	M	16/06/2014	
ASM69914v1	Aptenodytes forsteri	Emperor penguin	60X	"1,254,347,440"	"10,672"	"5,071,598"	71	"83,173"	"31,730"	"11,116"	M	6/06/2014	
AptMant0	Apteryx australis mantelli	Brown kiwi	?	"1,523,972,539"	"24,720"	"5,679,020"		"209,195"	"17,252"	"21,821"		21/06/2015	
Aquila_chrysaetos-1.0.2	Aquila chrysaetos canadensis	Golden eagle	88X	"1,192,743,076"	"1,142"	"9,230,743"	40	"17,032"	"172,329"	"2,004"	M	14/10/2014	
SMACv1.1	Ara macao	Scarlet macaw	26X	"1,204,700,227"	"192,790"	"15,974"	"21,024"	"504,229"	"4,399"	"61,494"		26/06/2013	
ASM70989v1	Balearica regulorum	Grey-crowned crane	33X	"1,127,622,302"	"53,491"	"52,178"	"6,181"	"111,850"	"23,331"	"14,477"	M	25/06/2014	
ASM71030v1	Buceros rhinoceros	Rhinoceros hornbill	35X	"1,065,782,791"	"62,257"	"53,203"	"5,769"	"180,800"	"14,587"	"21,343"	M	25/06/2014	
ASM143184v1	Calidris pugnax	Ruff	113X	"1,229,094,286"	"3,753"	"10,060,041"	33	"34,157"	"109,237"	"3,054"		4/11/2015	
ASM69908v1	Calypte anna	Anna's hummingbird	110X	"1,105,676,412"	"54,736"	"4,052,191"	81	"124,820"	"26,738"	"11,601"	F	6/06/2014	
ASM70074v1	Caprimulgus carolinensis	Chuck-will's-widow	30X	1119683066	"70,122"	"46,345"	"6,762"	"126,789"	"22,156"	"14,874"	M	10/06/2014	
ASM69053v1	Cariama cristata	Red-legged seriema	24X	"1,132,245,425"	"53,474"	"55,197"	"5,958"	"112,704"	"24,645"	"13,705"	M	12/05/2014	
ASM69994v1	Cathartes aura	Turkey vulture	25X	"1,152,571,117"	"104,141"	"36,359"	"8,777"	"216,823"	"15,248"	"20,795"	F	11/06/2014	
ChaPel_1.0	Chaetura pelagica	Chimney swift	106X	"1,119,188,094"	"19,072"	"3,841,852"	78	"84,595"	"30,757"	"10,349"	F	4/09/2014	
ASM70802v2	Charadrius vociferus	Killdeer	100X	"1,219,859,583"	"15,167"	"3,657,050"	98	"79,162"	"39,278"	"8,893"	F	5/08/2014	
ASM69519v1	Chlamydotis macqueenii	Macqueen's bustard	27X	"1,086,566,339"	"59,693"	"45,221"	"6,888"	"115,823"	"21,641"	"14,968"	M	2/06/2014	
Chrysemys_picta_bellii-3.0.3	Chrysemys picta bellii	Western painted turtle	15X	"2,365,766,571"	"78,631"	"6,605,846"	102	"262,326"	"21,349"	"29,024"		31/03/2014	
ASM69071v1	Colius striatus	Speckled mousebird	27X	"1,075,931,597"	"70,188"	"46,063"	"6,512"	"114,650"	"25,860"	"12,120"	M	13/05/2014	
Cliv_1.0	Columba livia	Pigeon	63X	"1,107,989,085"	"14,923"	"3,148,738"	82	"100,099"	"26,579"	"12,141"	M	11/02/2013	
ASM69197v1	Corvus brachyrhynchos	American crow	80X	"1,091,312,783"	"10,547"	"6,953,989"	49	"89,646"	"29,093"	"10,509"	F	2/06/2014	
Hooded_Crow_genome	Corvus cornix cornix	Hooded crow	152X	"1,049,964,851"	"1,299"	"16,358,221"	19	"28,920"	"94,375"	"2,953"	M	12/08/2014	
Coturnix_japonica_2.0	Coturnix japonica	Japanese quail	73X	"927,656,957"	"2,531"	"2,975,000"	86	"9,642"	"511,217"	515	M	1/03/2016	
Cpor_2.0	Crocodylus porosus	Saltwater crocodile	74X	"2,120,573,303"	"23,365"	"204,532"	"2,891"	"112,407"	"32,735"	"18,929"	M	24/10/2014	
ASM70932v1	Cuculus canorus	Common cuckoo	100X	"1,153,894,225"	"14,930"	"2,989,832"	119	"71,907"	"38,137"	"8,811"	M	17/06/2014	
ASM68718v1	Egretta garzetta	Little egret	74X	"1,206,501,934"	"11,791"	"3,067,157"	113	"100,662"	"29,019"	"11,667"	M	9/05/2014	
ASM69077v1	Eurypyga helias	Sunbittern	33X	"1,088,019,637"	"62,699"	"47,243"	"6,386"	"115,170"	"24,402"	"12,843"	F	13/05/2014	
F_cherrug_v1.0	Falco cherrug	Saker falcon	147X	"1,174,811,715"	"5,863"	"4,154,532"	84	"75,898"	"31,327"	"10,949"	M	5/02/2013	
